C 社会科学总论
N91 自然科学研究、自然历史
N93 非线性科学
N94 系统科学
O1 数学
O3 力学
O4 物理学
O6 化学
O7 晶体学
P1 天文学
P2 测绘学
P3 地球物理学
P4 大气科学（气象学）
P5 地质学
P7 海洋学
P9 自然地理学
Q1 普通生物学
Q2 细胞生物学
Q3 遗传学
Q4 生理学
Q5 生物化学
Q6 生物物理学
Q7 分子生物学
Q81 生物工程学（生物技术）
Q91 古生物学
Q93 微生物学
Q94 植物学
Q95 动物学
Q96 昆虫学
Q98 人类学
R1 预防医学、卫生学
R2 中国医学
R3 基础医学
R4 临床医学
R5 内科学
R6 外科学
R71 妇产科学
R72 儿科学
R73 肿瘤学
R74 神经病学与精神病学
R75 皮肤病学与性病学
R76 耳鼻咽喉科学
R77 眼科学
R78 口腔科学
R79 外国民族医学
R8 特种医学
R9 药学
S1 农业基础科学
S2 农业工程
S3 农学（农艺学）
S4 植物保护
S5 农作物
S6 园艺
S7 林业
S8 畜牧、动物医学、狩猎、蚕、蜂
S9 水产、渔业
TB 一般工业技术
TD 矿业工程
TE 石油、天然气工业
TF 冶金工业
TG 金属学与金属工艺
TH 机械、仪表工业
TJ 武器工业
TK 能源与动力工业
TL 原子能技术
TM 电工技术
TN 无线电电子学、电信技术
TP 自动化技术、计算机技
TQ 化学工业
TS 轻工业、手工业
TU 建筑科学
TV 水利工程
U1 综合运输
U2 铁路运输
U4 公路运输
U6 水路运输
V1 航空、航天技术的研究与探索
V2 航空
V4 航天（宇宙航行）
X1 环境科学基础理论
X2 社会与环境
X3 环境保护管理
X4 灾害及其防治
X5 环境污染及其防治
X7 废物处理与综合利用
X8 环境质量评价与环境监测
X9 安全科学
