A 马克思主义、列宁主义、毛泽东思想、邓小平理论
B 哲学、宗教
C 社会科学总论
D 政治、法律
E 军事
F 经济
G 文化、科学、教育、体育
H 语言、文字
I 文学
J 艺术
N 自然科学总论
O 数理科学和化学
O1 数学
O1-0 数学理论
O1-8 计算工具
O11 古典数学
O119 中国数学
O12 初等数学
O13 高等数学
O14 数理逻辑、数学基础
O15 代数、数论、组合理论
O17 数学分析
O18 几何、拓扑
O19 动力系统理论
O21 概率论与数理统计
O22 运筹学
O23 控制论、信息论（数学理论）
O24 计算数学
O29 应用数学
O3 力学
O31 理论力学（一般力学）
O32 振动理论
O33 连续介质力学（变形体力学）
O34 固体力学
O35 流体力学
O369 物理力学
O37 流变学
O38 爆炸力学
O39 应用力学
O4 物理学
O41 理论物理学
O42 声学
O43 光学
O44 电磁学、电动力学
O45 无线电物理学
O46 真空电子学（电子物理学）
O469 凝聚态物理学
O47 半导体物理学
O48 固体物理学
O51 低温物理学
O52 高压与高温物理学
O53 等离子体物理学
O55 热学与物质分子运动论
O56 分子物理学、原子物理学
O57 原子核物理学、高能物理学
O59 应用物理学
O6 化学
O61 无机化学
O62 有机化学
O63 高分子化学（高聚物）
O64 物理化学（理论化学）、化学物理学
O65 分析化学
O69 应用化学
O7 晶体学
P1 天文学
P2 测绘学
P3 地球物理学
P31 大地（岩石界）物理学
P33 水文科学（水界物理学）
P35 空间物理
P4 大气科学（气象学）
P5 地质学
P51 动力地质学
P52 古生物学
P53 历史地质学、地层学
P54 构造地质学
P55 地质力学
P56 区域地质学
P57 矿物学
P58 岩石学
P59 地球化学
P61 矿床学
P62 地质、矿产普查与勘探
P64 水文地质学与工程地质学
[P65] 地震地质学
[P66] 环境地质学
[P67] 海洋地质学
P68 宇宙地质学
P691 行星地质学
P692 灾害地质学
P7 海洋学
P71 海洋调查与观测
P72 区域海洋学
P73 海洋基础科学
P74 海洋资源与开发
P75 海洋工程
[P76] 海洋环境科学
[P77] 潜水医学
[P79] 军事海洋学
P9 自然地理学
P90 一般理论与方法
P91 数理地理学
[P92] 古地理学
P93 部门自然地理学
P94 区域自然地理学
[P951] 环境地理学
[P954] 灾害地理学
P96 自然资源学
[P97] 地理探险与发现
P98 自然地理图
Q 生物科学
Q1 普通生物学
Q2 细胞生物学
Q3 遗传学
Q4 生理学
Q5 生物化学
Q6 生物物理学
Q7 分子生物学
Q81 生物工程学（生物技术）
[Q89] 环境生物学
Q91 古生物学
Q93 微生物学
Q94 植物学
Q95 动物学
Q96 昆虫学
Q98 人类学
R 医药、卫生
R1 预防医学、卫生学
R2 中国医学
R3 基础医学
R4 临床医学
R5 内科学
R6 外科学
R71 妇产科学
R72 儿科学
R73 肿瘤学
R74 神经病学与精神病学
R75 皮肤病学与性病学
R76 耳鼻咽喉科学
R77 眼科学
R78 口腔科学
R79 外国民族医学
R8 特种医学
R9 药学
S 农业科学
S1 农业基础科学
S2 农业工程
S3 农学（农艺学）
S4 植物保护
S5 农作物
S6 园艺
S7 林业
S8 畜牧、动物医学、狩猎、蚕、蜂
S9 水产、渔业
T 工业技术
TB 一般工业技术
TB1 工程基础科学
TB2 工程设计与测绘
TB3 工程材料学
TB4 工业通用技术与设备
TB5 声学工程
TB6 制冷工程
TB7 真空技术
TB8 摄影技术
TB9 计量学
TD 矿业工程
TD1 矿山地质与测量
TD2 矿山设计与建设
TD3 矿山压力与支护
TD4 矿山机械
TD5 矿山运输与设备
TD6 矿山电工
TD7 矿山安全与劳动保护
TD8 矿山开采
TD9 选矿
TD98 矿产资源的综合利用
TE 石油、天然气工业
TE0 能源与节能
TE1 石油、天然气地质与勘探
TE2 钻井工程
TE3 油气田开发与开采
TE4 油气田建设工程
TE5 海上油气田勘探与开发
TE6 石油、天然气加工工业
TE8 石油、天然气储存与运输
TE9 石油机械设备与自动化
[TE99] 石油、天然气工业环境保护与综合利用
TF 冶金工业
TF0 一般性问题
TF1 冶金技术
TF3 冶金机械、冶金生产自动化
TF4 钢铁冶金（黑色金属冶炼）（总论）
TF5 炼铁
TF6 铁合金冶炼
TF7 炼钢
TF79 其他黑色金属冶炼
TF8 有色金属冶炼
TG 金属学与金属工艺
TG1 金属学与热处理
TG2 铸造
TG3 金属压力加工
TG4 焊接、金属切割及金属粘接
TG5 金属切削加工及机床
TG7 刀具、磨料、磨具、夹具、模具和手工具
TG8 公差与技术测量及机械量仪
TG9 钳工工艺与装配工艺
TH 机械、仪表工业
TH11 机械学（机械设计基础理论）
TH12 机械设计、计算与制图
TH13 机械零件及传动装置
TH14 机械制造用材料
TH16 机械制造工艺
TH17 机械运行与维修
TH18 机械工厂（车间）
TH2 起重机械与运输机械
TH3 泵
TH4 气体压缩与输送机械
TH6 专用机械与设备
TH7 仪器、仪表
TJ 武器工业
TK 能源与动力工业
TL 原子能技术
TM 电工技术
TM0 一般性问题
TM1 电工基础理论
TM2 电工材料
TM3 电机
TM4 变压器、变流器及电抗器
TM5 电器
TM6 发电、发电厂
TM7 输配电工程、电力网及电力系统
TM8 高电压技术
TM91 独立电源技术（直接发电）
TM92 电气化、电能应用
TM93 电气测量技术及仪器
TN 无线电电子学、电信技术
TN0 一般性问题
TN1 真空电子技术
TN2 光电子技术、激光技术
TN3 半导体技术
TN4 微电子技学、集成电路(IC)
TN6 电子元件、组件
TN7 基本电子电路
TN8 无线电设备、电信设备
TN91 通信
TN92 无线通信
TN93 广播
TN94 电视
TN95 雷达
TN96 无线电导航
TN97 电子对抗（干扰及抗干扰）
[TN98] 无线电、电信测量技术及仪器
TN99 无线电电子学的应用
TP 自动化技术、计算机技
TP1 自动化基础理论
TP2 自动化技术及设备
TP3 计算技术、计算机技术
TP30 一般性问题
TP31 计算机软件
TP311 程序设计、软件工程
TP312 程序语言、算法语言
TP313 汇编程序
TP314 编译程序、解释程序
TP315 管理程序、管理系统
TP316 操作系统
TP317 程序包（应用软件）
TP319 专用应用软件
TP32 一般计算器和计算机
TP33 电子数字计算机
TP34 电子模拟计算机
TP35 混合电子计算机
TP36 微型计算机
TP37 多媒体技术与多媒体计算机
TP38 其他计算机
TP39 计算机的应用
TP391 信息处理
TP392 各种专用数据库
TP393 计算机网络
TP399 在其他方面的应用
TP6 射流技术（流控技术）
TP7 遥感技术
TP8 远动技术
TQ 化学工业
TS 轻工业、手工业
TU 建筑科学
TU1 建筑基础科学
TU19 建筑勘测
TU2 建筑设计
TU3 建筑结构
TU4 土力学、地基基础工程
TU5 建筑材料
TU6 建筑施工机械和设备
TU7 建筑施工
TU8 房屋建筑设备
TU9 地下建筑
TU97 高层建筑
TU98 区域规划、城乡规划
TU99 市政工程
TV 水利工程
U 交通运输
U1 综合运输
U2 铁路运输
U4 公路运输
U6 水路运输
[U8] 航空运输
V 航空、航天
V1 航空、航天技术的研究与探索
V2 航空
V4 航天（宇宙航行）
[V7] 航空、航天医学
X 环境科学、安全科学
X1 环境科学基础理论
X2 社会与环境
X3 环境保护管理
X4 灾害及其防治
X5 环境污染及其防治
X7 废物处理与综合利用
X8 环境质量评价与环境监测
X9 安全科学
